dia;mes;año;codClase;hora;codigoMonitor;nParticipantes
1;febrero;2023;Yoga001;10;100;25
1;febrero;2023;Yoga001;12;100;20
1;febrero;2023;Yoga001;16;100;25
1;febrero;2023;Yoga001;19;100;15
1;febrero;2023;Bike001;10;101;22
1;febrero;2023;Bike001;12;101;20
1;febrero;2023;Bike001;16;101;20
1;febrero;2023;Bike001;19;101;10
1;febrero;2023;Zumba001;10;103;22
1;febrero;2023;Zumba001;12;103;20
1;febrero;2023;Zumba001;16;103;20
1;febrero;2023;Zumba001;19;103;10
1;febrero;2023;Pilates001;10;104;22
1;febrero;2023;Pilates001;12;104;23
1;febrero;2023;Pilates001;16;104;12
1;febrero;2023;Pilates001;19;104;16
2;febrero;2023;Yoga001;10;100;12
2;febrero;2023;Yoga001;12;100;22
2;febrero;2023;Yoga001;16;100;24
2;febrero;2023;Yoga001;19;100;11
2;febrero;2023;Bike001;10;101;23
2;febrero;2023;Bike001;12;101;21
2;febrero;2023;Bike001;16;101;21
2;febrero;2023;Bike001;19;101;14
2;febrero;2023;Zumba001;10;103;12
2;febrero;2023;Zumba001;12;103;23
2;febrero;2023;Zumba001;16;103;14
2;febrero;2023;Zumba001;19;103;12
2;febrero;2023;Pilates001;10;104;12
2;febrero;2023;Pilates001;12;104;13
2;febrero;2023;Pilates001;16;104;16
2;febrero;2023;Pilates001;19;104;17
3;febrero;2023;Yoga001;10;100;12
3;febrero;2023;Yoga001;12;100;22
3;febrero;2023;Yoga001;16;100;24
3;febrero;2023;Yoga001;19;100;11
3;febrero;2023;Bike001;10;101;23
3;febrero;2023;Bike001;12;101;21
3;febrero;2023;Bike001;16;101;21
3;febrero;2023;Bike001;19;101;14
3;febrero;2023;Zumba001;10;103;12
3;febrero;2023;Zumba001;12;103;23
3;febrero;2023;Zumba001;16;103;14
3;febrero;2023;Zumba001;19;103;12
3;febrero;2023;Pilates001;10;104;12
3;febrero;2023;Pilates001;12;104;13
3;febrero;2023;Pilates001;16;104;16
3;febrero;2023;Pilates001;19;104;17
4;febrero;2023;Yoga001;10;100;12
4;febrero;2023;Yoga001;12;100;22
4;febrero;2023;Yoga001;16;100;24
4;febrero;2023;Yoga001;19;100;11
4;febrero;2023;Bike001;10;101;23
4;febrero;2023;Bike001;12;101;21
4;febrero;2023;Bike001;16;101;21
4;febrero;2023;Bike001;19;101;14
4;febrero;2023;Zumba001;10;103;12
4;febrero;2023;Zumba001;12;103;23
4;febrero;2023;Zumba001;16;103;14
4;febrero;2023;Zumba001;19;103;12
4;febrero;2023;Pilates001;10;104;12
4;febrero;2023;Pilates001;12;104;13
4;febrero;2023;Pilates001;16;104;16
4;febrero;2023;Pilates001;19;104;17
5;febrero;2023;Yoga001;10;100;12
5;febrero;2023;Yoga001;12;100;22
5;febrero;2023;Yoga001;16;100;24
5;febrero;2023;Yoga001;19;100;11
5;febrero;2023;Bike001;10;101;23
5;febrero;2023;Bike001;12;101;21
5;febrero;2023;Bike001;16;101;21
5;febrero;2023;Bike001;19;101;14
5;febrero;2023;Zumba001;10;103;12
5;febrero;2023;Zumba001;12;103;23
5;febrero;2023;Zumba001;16;103;14
5;febrero;2023;Zumba001;19;103;12
5;febrero;2023;Pilates001;10;104;12
5;febrero;2023;Pilates001;12;104;13
5;febrero;2023;Pilates001;16;104;16
5;febrero;2023;Pilates001;19;104;17
6;febrero;2023;Yoga001;10;100;1
6;febrero;2023;Yoga001;12;100;2
6;febrero;2023;Yoga001;16;100;4
6;febrero;2023;Yoga001;19;100;1
6;febrero;2023;Bike001;10;101;3
6;febrero;2023;Bike001;12;101;1
6;febrero;2023;Bike001;16;101;1
6;febrero;2023;Bike001;19;101;4
6;febrero;2023;Zumba001;10;103;1
6;febrero;2023;Zumba001;12;103;3
6;febrero;2023;Zumba001;16;103;4
6;febrero;2023;Zumba001;19;103;2
6;febrero;2023;Pilates001;10;104;2
6;febrero;2023;Pilates001;12;104;1
6;febrero;2023;Pilates001;16;104;1
6;febrero;2023;Pilates001;19;104;7
7;febrero;2023;Yoga001;10;100;20
7;febrero;2023;Yoga001;12;100;22
7;febrero;2023;Yoga001;16;100;24
7;febrero;2023;Yoga001;19;100;18
7;febrero;2023;Bike001;10;101;24
7;febrero;2023;Bike001;12;101;20
7;febrero;2023;Bike001;16;101;20
7;febrero;2023;Bike001;19;101;14
7;febrero;2023;Zumba001;10;103;21
7;febrero;2023;Zumba001;12;103;2
7;febrero;2023;Zumba001;16;103;12
7;febrero;2023;Zumba001;19;103;11
7;febrero;2023;Pilates001;10;104;10
7;febrero;2023;Pilates001;12;104;10
7;febrero;2023;Pilates001;16;104;17
7;febrero;2023;Pilates001;19;104;18
8;febrero;2023;Yoga001;10;100;22
8;febrero;2023;Yoga001;12;100;22
8;febrero;2023;Yoga001;16;100;24
8;febrero;2023;Yoga001;19;100;22
8;febrero;2023;Bike001;10;101;23
8;febrero;2023;Bike001;12;101;21
8;febrero;2023;Bike001;16;101;22
8;febrero;2023;Bike001;19;101;14
8;febrero;2023;Zumba001;10;103;12
8;febrero;2023;Zumba001;12;103;22
8;febrero;2023;Zumba001;16;103;14
8;febrero;2023;Zumba001;19;103;12
8;febrero;2023;Pilates001;10;104;12
8;febrero;2023;Pilates001;12;104;13
8;febrero;2023;Pilates001;16;104;22
8;febrero;2023;Pilates001;19;104;22
9;febrero;2023;Yoga001;10;100;12
9;febrero;2023;Yoga001;12;100;22
9;febrero;2023;Yoga001;16;100;12
9;febrero;2023;Yoga001;19;100;11
9;febrero;2023;Bike001;10;101;23
9;febrero;2023;Bike001;12;101;12
9;febrero;2023;Bike001;16;101;21
9;febrero;2023;Bike001;19;101;12
9;febrero;2023;Zumba001;10;103;12
9;febrero;2023;Zumba001;12;103;23
9;febrero;2023;Zumba001;16;103;12
9;febrero;2023;Zumba001;19;103;12
9;febrero;2023;Pilates001;10;104;12
9;febrero;2023;Pilates001;12;104;12
9;febrero;2023;Pilates001;16;104;16
9;febrero;2023;Pilates001;19;104;12
10;febrero;2023;Yoga001;10;100;25
10;febrero;2023;Yoga001;12;100;20
10;febrero;2023;Yoga001;16;100;25
10;febrero;2023;Yoga001;19;100;15
10;febrero;2023;Bike001;10;101;22
10;febrero;2023;Bike001;12;101;20
10;febrero;2023;Bike001;16;101;20
10;febrero;2023;Bike001;19;101;10
10;febrero;2023;Zumba001;10;103;22
10;febrero;2023;Zumba001;12;103;20
10;febrero;2023;Zumba001;16;103;20
10;febrero;2023;Zumba001;19;103;10
10;febrero;2023;Pilates001;10;104;22
10;febrero;2023;Pilates001;12;104;23
10;febrero;2023;Pilates001;16;104;12
10;febrero;2023;Pilates001;19;104;16
11;febrero;2023;Yoga001;10;100;25
11;febrero;2023;Yoga001;12;100;20
11;febrero;2023;Yoga001;16;100;25
11;febrero;2023;Yoga001;19;100;15
11;febrero;2023;Bike001;10;101;22
11;febrero;2023;Bike001;12;101;20
11;febrero;2023;Bike001;16;101;20
11;febrero;2023;Bike001;19;101;10
11;febrero;2023;Zumba001;10;103;22
11;febrero;2023;Zumba001;12;103;20
11;febrero;2023;Zumba001;16;103;20
11;febrero;2023;Zumba001;19;103;10
11;febrero;2023;Pilates001;10;104;22
11;febrero;2023;Pilates001;12;104;23
11;febrero;2023;Pilates001;16;104;12
11;febrero;2023;Pilates001;19;104;16
12;febrero;2023;Yoga001;10;100;12
12;febrero;2023;Yoga001;12;100;22
12;febrero;2023;Yoga001;16;100;24
12;febrero;2023;Yoga001;19;100;11
12;febrero;2023;Bike001;10;101;23
12;febrero;2023;Bike001;12;101;21
12;febrero;2023;Bike001;16;101;21
12;febrero;2023;Bike001;19;101;14
12;febrero;2023;Zumba001;10;103;12
12;febrero;2023;Zumba001;12;103;23
12;febrero;2023;Zumba001;16;103;14
12;febrero;2023;Zumba001;19;103;12
12;febrero;2023;Pilates001;10;104;12
12;febrero;2023;Pilates001;12;104;13
12;febrero;2023;Pilates001;16;104;16
12;febrero;2023;Pilates001;19;104;17
13;febrero;2023;Yoga001;10;100;12
13;febrero;2023;Yoga001;12;100;22
13;febrero;2023;Yoga001;16;100;24
13;febrero;2023;Yoga001;19;100;11
13;febrero;2023;Bike001;10;101;23
13;febrero;2023;Bike001;12;101;21
13;febrero;2023;Bike001;16;101;21
13;febrero;2023;Bike001;19;101;14
13;febrero;2023;Zumba001;10;103;12
13;febrero;2023;Zumba001;12;103;23
13;febrero;2023;Zumba001;16;103;14
13;febrero;2023;Zumba001;19;103;12
13;febrero;2023;Pilates001;10;104;12
13;febrero;2023;Pilates001;12;104;13
13;febrero;2023;Pilates001;16;104;16
13;febrero;2023;Pilates001;19;104;17
14;febrero;2023;Yoga001;10;100;12
14;febrero;2023;Yoga001;12;100;22
14;febrero;2023;Yoga001;16;100;24
14;febrero;2023;Yoga001;19;100;11
14;febrero;2023;Bike001;10;101;23
14;febrero;2023;Bike001;12;101;21
14;febrero;2023;Bike001;16;101;21
14;febrero;2023;Bike001;19;101;14
14;febrero;2023;Zumba001;10;103;12
14;febrero;2023;Zumba001;12;103;23
14;febrero;2023;Zumba001;16;103;14
14;febrero;2023;Zumba001;19;103;12
14;febrero;2023;Pilates001;10;104;12
14;febrero;2023;Pilates001;12;104;13
14;febrero;2023;Pilates001;16;104;16
14;febrero;2023;Pilates001;19;104;17
15;febrero;2023;Yoga001;10;100;12
15;febrero;2023;Yoga001;12;100;22
15;febrero;2023;Yoga001;16;100;24
15;febrero;2023;Yoga001;19;100;11
15;febrero;2023;Bike001;10;101;23
15;febrero;2023;Bike001;12;101;21
15;febrero;2023;Bike001;16;101;21
15;febrero;2023;Bike001;19;101;14
15;febrero;2023;Zumba001;10;103;12
