dia;mes;año;codClase;hora;codigoMonitor;nParticipantes
1;enero;2023;Yoga001;10;100;25
1;enero;2023;Yoga001;12;100;20
1;enero;2023;Yoga001;19;100;15
1;enero;2023;Bike001;10;101;22
1;enero;2023;Bike001;12;101;20
1;enero;2023;Bike001;16;101;20
1;enero;2023;Zumba001;12;103;20
1;enero;2023;Zumba001;16;103;20
1;enero;2023;Zumba001;19;103;10
1;enero;2023;Pilates001;10;104;22
2;enero;2023;Yoga001;10;100;12
2;enero;2023;Yoga001;12;100;22
2;enero;2023;Bike001;12;101;21
2;enero;2023;Bike001;16;101;21
2;enero;2023;Bike001;19;101;14
2;enero;2023;Zumba001;10;103;12
2;enero;2023;Zumba001;12;103;23
2;enero;2023;Zumba001;16;103;14
2;enero;2023;Pilates001;12;104;13
2;enero;2023;Pilates001;16;104;16
2;enero;2023;Pilates001;19;104;17
3;enero;2023;Yoga001;10;100;12
3;enero;2023;Yoga001;12;100;22
3;enero;2023;Yoga001;16;100;24
3;enero;2023;Yoga001;19;100;11
3;enero;2023;Bike001;10;101;23
3;enero;2023;Bike001;12;101;21
3;enero;2023;Bike001;16;101;21
3;enero;2023;Bike001;19;101;14
3;enero;2023;Zumba001;10;103;12
3;enero;2023;Zumba001;12;103;23
3;enero;2023;Zumba001;16;103;14
3;enero;2023;Zumba001;19;103;12
3;enero;2023;Pilates001;10;104;12
3;enero;2023;Pilates001;12;104;13
4;enero;2023;Yoga001;12;100;22
4;enero;2023;Yoga001;16;100;24
4;enero;2023;Yoga001;19;100;11
4;enero;2023;Bike001;10;101;23
4;enero;2023;Bike001;12;101;21
4;enero;2023;Bike001;16;101;21
4;enero;2023;Bike001;19;101;14
4;enero;2023;Zumba001;10;103;12
4;enero;2023;Zumba001;12;103;23
4;enero;2023;Pilates001;10;104;12
4;enero;2023;Pilates001;12;104;13
4;enero;2023;Pilates001;16;104;16
4;enero;2023;Pilates001;19;104;17
5;enero;2023;Yoga001;10;100;12
5;enero;2023;Yoga001;12;100;22
5;enero;2023;Bike001;10;101;23
5;enero;2023;Bike001;12;101;21
5;enero;2023;Zumba001;10;103;12
5;enero;2023;Zumba001;19;103;12
5;enero;2023;Pilates001;10;104;12
5;enero;2023;Pilates001;19;104;17
6;enero;2023;Yoga001;10;100;1
6;enero;2023;Yoga001;12;100;2
6;enero;2023;Yoga001;16;100;4
6;enero;2023;Yoga001;19;100;1
6;enero;2023;Bike001;10;101;3
6;enero;2023;Bike001;19;101;4
6;enero;2023;Zumba001;10;103;1
6;enero;2023;Zumba001;12;103;3
6;enero;2023;Zumba001;16;103;4
6;enero;2023;Zumba001;19;103;2
6;enero;2023;Pilates001;10;104;2
6;enero;2023;Pilates001;12;104;1
6;enero;2023;Pilates001;16;104;1
6;enero;2023;Pilates001;19;104;7
7;enero;2023;Yoga001;16;100;24
7;enero;2023;Yoga001;19;100;18
7;enero;2023;Bike001;10;101;24
7;enero;2023;Bike001;19;101;14
7;enero;2023;Zumba001;10;103;21
7;enero;2023;Zumba001;12;103;2
7;enero;2023;Zumba001;16;103;12
7;enero;2023;Zumba001;19;103;11
7;enero;2023;Pilates001;10;104;10
7;enero;2023;Pilates001;12;104;10
8;enero;2023;Yoga001;10;100;22
8;enero;2023;Yoga001;12;100;22
8;enero;2023;Yoga001;16;100;24
8;enero;2023;Yoga001;19;100;22
8;enero;2023;Bike001;10;101;23
8;enero;2023;Bike001;12;101;21
8;enero;2023;Bike001;16;101;22
8;enero;2023;Bike001;19;101;14
8;enero;2023;Zumba001;10;103;12
8;enero;2023;Zumba001;12;103;22
8;enero;2023;Zumba001;16;103;14
8;enero;2023;Zumba001;19;103;12
8;enero;2023;Pilates001;10;104;12
8;enero;2023;Pilates001;19;104;22
9;enero;2023;Yoga001;10;100;12
9;enero;2023;Yoga001;12;100;22
9;enero;2023;Yoga001;16;100;12
9;enero;2023;Bike001;16;101;21
9;enero;2023;Bike001;19;101;12
9;enero;2023;Zumba001;10;103;12
9;enero;2023;Zumba001;12;103;23
9;enero;2023;Zumba001;16;103;12
9;enero;2023;Zumba001;19;103;12
9;enero;2023;Pilates001;10;104;12
9;enero;2023;Pilates001;12;104;12
10;enero;2023;Yoga001;12;100;20
10;enero;2023;Yoga001;16;100;25
10;enero;2023;Yoga001;19;100;15
10;enero;2023;Bike001;10;101;22
10;enero;2023;Bike001;12;101;20
10;enero;2023;Zumba001;12;103;20
10;enero;2023;Zumba001;16;103;20
10;enero;2023;Zumba001;19;103;10
10;enero;2023;Pilates001;10;104;22
10;enero;2023;Pilates001;12;104;23
10;enero;2023;Pilates001;16;104;12
11;enero;2023;Yoga001;12;100;20
11;enero;2023;Yoga001;16;100;25
11;enero;2023;Yoga001;19;100;15
11;enero;2023;Bike001;10;101;22
11;enero;2023;Bike001;12;101;20
11;enero;2023;Zumba001;16;103;20
11;enero;2023;Zumba001;19;103;10
11;enero;2023;Pilates001;10;104;22
11;enero;2023;Pilates001;12;104;23
11;enero;2023;Pilates001;16;104;12
11;enero;2023;Pilates001;19;104;16
12;enero;2023;Yoga001;12;100;22
12;enero;2023;Yoga001;16;100;24
12;enero;2023;Yoga001;19;100;11
12;enero;2023;Bike001;10;101;23
12;enero;2023;Bike001;12;101;21
12;enero;2023;Bike001;16;101;21
12;enero;2023;Bike001;19;101;14
12;enero;2023;Zumba001;10;103;12
12;enero;2023;Zumba001;12;103;23
12;enero;2023;Zumba001;16;103;14
12;enero;2023;Zumba001;19;103;12
12;enero;2023;Pilates001;10;104;12
12;enero;2023;Pilates001;12;104;13
12;enero;2023;Pilates001;16;104;16
12;enero;2023;Pilates001;19;104;17
13;enero;2023;Yoga001;10;100;12
13;enero;2023;Yoga001;12;100;22
13;enero;2023;Yoga001;16;100;24
13;enero;2023;Yoga001;19;100;11
13;enero;2023;Bike001;10;101;23
13;enero;2023;Bike001;12;101;21
13;enero;2023;Bike001;16;101;21
13;enero;2023;Bike001;19;101;14
13;enero;2023;Zumba001;10;103;12
13;enero;2023;Zumba001;12;103;23
13;enero;2023;Zumba001;16;103;14
13;enero;2023;Zumba001;19;103;12
13;enero;2023;Pilates001;10;104;12
13;enero;2023;Pilates001;12;104;13
13;enero;2023;Pilates001;16;104;16
13;enero;2023;Pilates001;19;104;17
14;enero;2023;Yoga001;10;100;12
14;enero;2023;Bike001;16;101;21
14;enero;2023;Bike001;19;101;14
14;enero;2023;Zumba001;10;103;12
14;enero;2023;Zumba001;12;103;23
14;enero;2023;Zumba001;16;103;14
14;enero;2023;Zumba001;19;103;12
14;enero;2023;Pilates001;10;104;12
14;enero;2023;Pilates001;12;104;13
15;enero;2023;Yoga001;16;100;24
15;enero;2023;Yoga001;19;100;11
15;enero;2023;Bike001;10;101;23
15;enero;2023;Bike001;12;101;21
15;enero;2023;Bike001;16;101;21
15;enero;2023;Bike001;19;101;14
15;enero;2023;Zumba001;10;103;12
15;enero;2023;Zumba001;12;103;23
15;enero;2023;Zumba001;16;103;14
15;enero;2023;Zumba001;19;103;12
15;enero;2023;Pilates001;10;104;12
15;enero;2023;Pilates001;12;104;13
15;enero;2023;Pilates001;16;104;16
15;enero;2023;Pilates001;19;104;17
16;enero;2023;Yoga001;10;100;21
16;enero;2023;Yoga001;12;100;22
16;enero;2023;Bike001;16;101;14
16;enero;2023;Bike001;19;101;24
16;enero;2023;Zumba001;10;103;21
16;enero;2023;Zumba001;12;103;23
16;enero;2023;Zumba001;16;103;24
16;enero;2023;Zumba001;19;103;22
16;enero;2023;Pilates001;10;104;22
16;enero;2023;Pilates001;12;104;21
16;enero;2023;Pilates001;16;104;21
16;enero;2023;Pilates001;19;104;17
17;enero;2023;Yoga001;10;100;20
17;enero;2023;Yoga001;12;100;22
17;enero;2023;Yoga001;16;100;24
17;enero;2023;Yoga001;19;100;18
17;enero;2023;Bike001;10;101;24
17;enero;2023;Bike001;12;101;20
17;enero;2023;Bike001;16;101;20
17;enero;2023;Bike001;19;101;14
17;enero;2023;Zumba001;10;103;21
17;enero;2023;Zumba001;12;103;2
17;enero;2023;Zumba001;16;103;12
17;enero;2023;Zumba001;19;103;11
17;enero;2023;Pilates001;10;104;10
17;enero;2023;Pilates001;12;104;10
17;enero;2023;Pilates001;16;104;17
17;enero;2023;Pilates001;19;104;18
18;enero;2023;Yoga001;10;100;22
18;enero;2023;Yoga001;12;100;22
18;enero;2023;Yoga001;16;100;24
18;enero;2023;Yoga001;19;100;22
18;enero;2023;Bike001;10;101;23
18;enero;2023;Bike001;12;101;21
18;enero;2023;Bike001;16;101;22
18;enero;2023;Bike001;19;101;14
18;enero;2023;Zumba001;10;103;12
18;enero;2023;Zumba001;12;103;22
18;enero;2023;Zumba001;16;103;14
18;enero;2023;Zumba001;19;103;12
18;enero;2023;Pilates001;10;104;12
18;enero;2023;Pilates001;12;104;13
18;enero;2023;Pilates001;16;104;22
18;enero;2023;Pilates001;19;104;22
19;enero;2023;Yoga001;10;100;12
19;enero;2023;Yoga001;12;100;22
19;enero;2023;Yoga001;16;100;12
19;enero;2023;Yoga001;19;100;11
19;enero;2023;Bike001;10;101;23
19;enero;2023;Bike001;12;101;12
19;enero;2023;Bike001;16;101;21
19;enero;2023;Bike001;19;101;12
19;enero;2023;Zumba001;10;103;12
19;enero;2023;Zumba001;12;103;23
19;enero;2023;Pilates001;16;104;16
19;enero;2023;Pilates001;19;104;12
20;enero;2023;Yoga001;10;100;25
20;enero;2023;Yoga001;12;100;20
20;enero;2023;Yoga001;16;100;25
20;enero;2023;Yoga001;19;100;15
20;enero;2023;Bike001;10;101;22
20;enero;2023;Bike001;12;101;20
20;enero;2023;Bike001;16;101;20
20;enero;2023;Bike001;19;101;10
20;enero;2023;Zumba001;10;103;22
20;enero;2023;Zumba001;12;103;20
20;enero;2023;Zumba001;16;103;20
20;enero;2023;Zumba001;19;103;10
20;enero;2023;Pilates001;10;104;22
20;enero;2023;Pilates001;12;104;23
20;enero;2023;Pilates001;16;104;12
20;enero;2023;Pilates001;19;104;16
21;enero;2023;Yoga001;10;100;25
21;enero;2023;Yoga001;12;100;20
21;enero;2023;Yoga001;16;100;25
21;enero;2023;Yoga001;19;100;15
21;enero;2023;Bike001;10;101;22
21;enero;2023;Bike001;12;101;20
21;enero;2023;Bike001;16;101;20
21;enero;2023;Bike001;19;101;10
21;enero;2023;Zumba001;10;103;22
21;enero;2023;Zumba001;12;103;20
21;enero;2023;Zumba001;16;103;20
21;enero;2023;Zumba001;19;103;10
21;enero;2023;Pilates001;10;104;22
21;enero;2023;Pilates001;12;104;23
21;enero;2023;Pilates001;16;104;12
21;enero;2023;Pilates001;19;104;16
22;enero;2023;Yoga001;10;100;12
22;enero;2023;Yoga001;12;100;22
22;enero;2023;Yoga001;16;100;24
22;enero;2023;Yoga001;19;100;11
22;enero;2023;Bike001;10;101;23
22;enero;2023;Zumba001;12;103;23
22;enero;2023;Zumba001;16;103;14
22;enero;2023;Zumba001;19;103;12
22;enero;2023;Pilates001;10;104;12
22;enero;2023;Pilates001;12;104;13
22;enero;2023;Pilates001;16;104;16
22;enero;2023;Pilates001;19;104;17
23;enero;2023;Yoga001;10;100;22
