dia;mes;año;codClase;hora;codigoMonitor;nParticipantes
1;mayo;2023;Yoga001;10;100;13
1;mayo;2023;Yoga001;12;100;20
1;mayo;2023;Yoga001;16;100;13
1;mayo;2023;Yoga001;19;100;25
1;mayo;2023;Bike001;10;101;22
1;mayo;2023;Bike001;12;101;20
1;mayo;2023;Bike001;16;101;20
1;mayo;2023;Bike001;19;101;10
1;mayo;2023;Zumba001;10;103;22
1;mayo;2023;Zumba001;12;103;20
1;mayo;2023;Zumba001;16;103;20
1;mayo;2023;Zumba001;19;103;10
1;mayo;2023;Pilates001;10;104;22
1;mayo;2023;Pilates001;12;104;23
1;mayo;2023;Pilates001;16;104;12
1;mayo;2023;Pilates001;19;104;16
2;mayo;2023;Yoga001;10;100;12
2;mayo;2023;Yoga001;12;100;22
2;mayo;2023;Yoga001;16;100;13
2;mayo;2023;Yoga001;19;100;11
2;mayo;2023;Bike001;10;101;23
2;mayo;2023;Bike001;12;101;21
2;mayo;2023;Bike001;16;101;21
2;mayo;2023;Bike001;19;101;14
2;mayo;2023;Zumba001;10;103;12
2;mayo;2023;Zumba001;12;103;23
2;mayo;2023;Zumba001;16;103;14
2;mayo;2023;Zumba001;19;103;12
2;mayo;2023;Pilates001;10;104;12
2;mayo;2023;Pilates001;12;104;13
2;mayo;2023;Pilates001;16;104;16
2;mayo;2023;Pilates001;19;104;11
3;mayo;2023;Yoga001;10;100;12
3;mayo;2023;Yoga001;12;100;22
3;mayo;2023;Yoga001;16;100;13
3;mayo;2023;Yoga001;19;100;11
3;mayo;2023;Bike001;10;101;23
3;mayo;2023;Bike001;12;101;21
3;mayo;2023;Bike001;16;101;21
3;mayo;2023;Bike001;19;101;14
3;mayo;2023;Zumba001;10;103;12
3;mayo;2023;Zumba001;12;103;23
3;mayo;2023;Zumba001;16;103;14
3;mayo;2023;Zumba001;19;103;12
3;mayo;2023;Pilates001;10;104;12
3;mayo;2023;Pilates001;12;104;13
3;mayo;2023;Pilates001;16;104;16
3;mayo;2023;Pilates001;19;104;11
4;mayo;2023;Yoga001;10;100;12
4;mayo;2023;Yoga001;12;100;22
4;mayo;2023;Yoga001;16;100;13
4;mayo;2023;Yoga001;19;100;11
4;mayo;2023;Bike001;10;101;23
4;mayo;2023;Bike001;12;101;21
4;mayo;2023;Bike001;16;101;21
4;mayo;2023;Bike001;19;101;14
4;mayo;2023;Zumba001;10;103;12
4;mayo;2023;Zumba001;12;103;23
4;mayo;2023;Zumba001;16;103;14
4;mayo;2023;Zumba001;19;103;12
4;mayo;2023;Pilates001;10;104;12
4;mayo;2023;Pilates001;12;104;13
4;mayo;2023;Pilates001;16;104;16
4;mayo;2023;Pilates001;19;104;11
5;mayo;2023;Yoga001;10;100;12
5;mayo;2023;Yoga001;12;100;22
5;mayo;2023;Yoga001;16;100;13
5;mayo;2023;Yoga001;19;100;11
5;mayo;2023;Bike001;10;101;23
5;mayo;2023;Bike001;12;101;21
5;mayo;2023;Bike001;16;101;21
5;mayo;2023;Bike001;19;101;14
5;mayo;2023;Zumba001;10;103;12
5;mayo;2023;Zumba001;12;103;23
5;mayo;2023;Zumba001;16;103;14
5;mayo;2023;Zumba001;19;103;12
5;mayo;2023;Pilates001;10;104;12
5;mayo;2023;Pilates001;12;104;13
5;mayo;2023;Pilates001;16;104;16
5;mayo;2023;Pilates001;19;104;11
6;mayo;2023;Yoga001;10;100;1
6;mayo;2023;Yoga001;12;100;2
6;mayo;2023;Yoga001;16;100;4
6;mayo;2023;Yoga001;19;100;1
6;mayo;2023;Bike001;10;101;3
6;mayo;2023;Bike001;12;101;1
6;mayo;2023;Bike001;16;101;1
6;mayo;2023;Bike001;19;101;4
6;mayo;2023;Zumba001;10;103;1
6;mayo;2023;Zumba001;12;103;3
6;mayo;2023;Zumba001;16;103;4
6;mayo;2023;Zumba001;19;103;2
6;mayo;2023;Pilates001;10;104;2
6;mayo;2023;Pilates001;12;104;1
6;mayo;2023;Pilates001;16;104;1
6;mayo;2023;Pilates001;19;104;7
7;mayo;2023;Yoga001;10;100;20
7;mayo;2023;Yoga001;12;100;22
7;mayo;2023;Yoga001;16;100;13
7;mayo;2023;Yoga001;19;100;18
7;mayo;2023;Bike001;10;101;13
7;mayo;2023;Bike001;12;101;20
7;mayo;2023;Bike001;16;101;20
7;mayo;2023;Bike001;19;101;14
7;mayo;2023;Zumba001;10;103;21
7;mayo;2023;Zumba001;12;103;2
7;mayo;2023;Zumba001;16;103;12
7;mayo;2023;Zumba001;19;103;11
7;mayo;2023;Pilates001;10;104;10
7;mayo;2023;Pilates001;12;104;10
7;mayo;2023;Pilates001;16;104;11
7;mayo;2023;Pilates001;19;104;18
8;mayo;2023;Yoga001;10;100;22
8;mayo;2023;Yoga001;12;100;22
8;mayo;2023;Yoga001;16;100;13
8;mayo;2023;Yoga001;19;100;22
8;mayo;2023;Bike001;10;101;23
8;mayo;2023;Bike001;12;101;21
8;mayo;2023;Bike001;16;101;22
8;mayo;2023;Bike001;19;101;14
8;mayo;2023;Zumba001;10;103;12
8;mayo;2023;Zumba001;12;103;22
8;mayo;2023;Zumba001;16;103;14
8;mayo;2023;Zumba001;19;103;12
8;mayo;2023;Pilates001;10;104;12
8;mayo;2023;Pilates001;12;104;13
8;mayo;2023;Pilates001;16;104;22
8;mayo;2023;Pilates001;19;104;22
9;mayo;2023;Yoga001;10;100;12
9;mayo;2023;Yoga001;12;100;22
9;mayo;2023;Yoga001;16;100;12
9;mayo;2023;Yoga001;19;100;11
9;mayo;2023;Bike001;10;101;23
9;mayo;2023;Bike001;12;101;12
9;mayo;2023;Bike001;16;101;21
9;mayo;2023;Bike001;19;101;12
9;mayo;2023;Zumba001;10;103;12
9;mayo;2023;Zumba001;12;103;23
9;mayo;2023;Zumba001;16;103;12
9;mayo;2023;Zumba001;19;103;12
9;mayo;2023;Pilates001;10;104;12
9;mayo;2023;Pilates001;12;104;12
9;mayo;2023;Pilates001;16;104;16
9;mayo;2023;Pilates001;19;104;12
10;mayo;2023;Yoga001;10;100;13
10;mayo;2023;Yoga001;12;100;20
10;mayo;2023;Yoga001;16;100;13
10;mayo;2023;Yoga001;19;100;25
10;mayo;2023;Bike001;10;101;22
10;mayo;2023;Bike001;12;101;20
10;mayo;2023;Bike001;16;101;20
10;mayo;2023;Bike001;19;101;10
10;mayo;2023;Zumba001;10;103;22
10;mayo;2023;Zumba001;12;103;20
10;mayo;2023;Zumba001;16;103;20
10;mayo;2023;Zumba001;19;103;10
10;mayo;2023;Pilates001;10;104;22
10;mayo;2023;Pilates001;12;104;23
10;mayo;2023;Pilates001;16;104;12
10;mayo;2023;Pilates001;19;104;16
11;mayo;2023;Yoga001;10;100;13
11;mayo;2023;Yoga001;12;100;20
11;mayo;2023;Yoga001;16;100;13
11;mayo;2023;Yoga001;19;100;25
11;mayo;2023;Bike001;10;101;22
11;mayo;2023;Bike001;12;101;20
