dia;mes;año;codClase;hora;codigoMonitor;nParticipantes
1;marzo;2025;Yoga001;10;100;24
1;marzo;2025;Yoga001;12;100;20
1;marzo;2025;Yoga001;16;100;24
1;marzo;2025;Yoga001;19;100;15
1;marzo;2025;Bike001;10;101;11
1;marzo;2025;Bike001;12;101;20
1;marzo;2025;Bike001;16;101;20
1;marzo;2025;Bike001;19;101;10
1;marzo;2025;Zumba001;10;103;11
1;marzo;2025;Zumba001;12;103;20
1;marzo;2025;Zumba001;16;103;20
1;marzo;2025;Zumba001;19;103;10
1;marzo;2025;Pilates001;10;104;11
1;marzo;2025;Pilates001;12;104;25
1;marzo;2025;Pilates001;16;104;12
1;marzo;2025;Pilates001;19;104;16
2;marzo;2025;Yoga001;10;100;12
2;marzo;2025;Yoga001;12;100;11
2;marzo;2025;Yoga001;16;100;24
2;marzo;2025;Yoga001;19;100;11
2;marzo;2025;Bike001;10;101;25
2;marzo;2025;Bike001;12;101;21
2;marzo;2025;Bike001;16;101;21
2;marzo;2025;Bike001;19;101;14
2;marzo;2025;Zumba001;10;103;12
2;marzo;2025;Zumba001;12;103;25
2;marzo;2025;Zumba001;16;103;14
2;marzo;2025;Zumba001;19;103;12
2;marzo;2025;Pilates001;10;104;12
2;marzo;2025;Pilates001;12;104;13
2;marzo;2025;Pilates001;16;104;16
2;marzo;2025;Pilates001;19;104;11
3;marzo;2025;Yoga001;10;100;12
3;marzo;2025;Yoga001;12;100;11
3;marzo;2025;Yoga001;16;100;24
3;marzo;2025;Yoga001;19;100;11
3;marzo;2025;Bike001;10;101;25
3;marzo;2025;Bike001;12;101;21
3;marzo;2025;Bike001;16;101;21
3;marzo;2025;Bike001;19;101;14
3;marzo;2025;Zumba001;10;103;12
3;marzo;2025;Zumba001;12;103;25
3;marzo;2025;Zumba001;16;103;14
3;marzo;2025;Zumba001;19;103;12
3;marzo;2025;Pilates001;10;104;12
3;marzo;2025;Pilates001;12;104;13
3;marzo;2025;Pilates001;16;104;16
3;marzo;2025;Pilates001;19;104;11
4;marzo;2025;Yoga001;10;100;12
4;marzo;2025;Yoga001;12;100;11
4;marzo;2025;Yoga001;16;100;24
4;marzo;2025;Yoga001;19;100;11
4;marzo;2025;Bike001;10;101;25
4;marzo;2025;Bike001;12;101;21
4;marzo;2025;Bike001;16;101;21
4;marzo;2025;Bike001;19;101;14
4;marzo;2025;Zumba001;10;103;12
4;marzo;2025;Zumba001;12;103;25
4;marzo;2025;Zumba001;16;103;14
4;marzo;2025;Zumba001;19;103;12
4;marzo;2025;Pilates001;10;104;12
4;marzo;2025;Pilates001;12;104;13
4;marzo;2025;Pilates001;16;104;16
4;marzo;2025;Pilates001;19;104;11
5;marzo;2025;Yoga001;10;100;12
5;marzo;2025;Yoga001;12;100;11
5;marzo;2025;Yoga001;16;100;24
5;marzo;2025;Yoga001;19;100;11
5;marzo;2025;Bike001;10;101;25
5;marzo;2025;Bike001;12;101;21
5;marzo;2025;Bike001;16;101;21
5;marzo;2025;Bike001;19;101;14
5;marzo;2025;Zumba001;10;103;12
5;marzo;2025;Zumba001;12;103;25
5;marzo;2025;Zumba001;16;103;14
5;marzo;2025;Zumba001;19;103;12
